rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, soc_sec_id
rec-2778-org, sarah, bruhn, 44, forbes street, wintersloe, kellerberrin, 4510, vic, 19300213, 7535316
rec-712-dup-0, jacob, lanyon, 5, milne cove, wellwod, beaconsfield upper, 2602, vic, 19080712, 9497788
rec-1321-org, brinley, efthimiou, 35, sturdee crescent, tremearne, scarborough, 5211, qld, 19940319, 6814956
rec-3004-org, aleisha, hobson, 54, oliver street, inglewood, toowoomba, 3175, qld, 19290427, 5967384
rec-1384-org, ethan, gazzola, 49, sheaffe street, bimby vale, port pirie, 3088, sa, 19631225, 3832742
rec-3981-org, alicia, hope, 100, mansfield place, sunset, byford, 6061, sa, 19421201, 7934773
rec-916-org, benjamin, kolosche, 78, keenan street, wingara, raymond terrace, 3212, sa, 19450918, 5698873
rec-1684-org, petreece, lusted, 78, baseby place, , east branxton, 6214, sa, 19950620, 8084076
rec-63-dup-0, olivia, white, 55, duffy street, shopping village, mirrabooka, 2260, vic, 19000106, 4996142
rec-3808-org, , maynard, 32, yerralee road, , altona meadows, 4019, nsw, 19150402, 5146525
rec-112-org, joshua, rudd, 78, max henry crescent, brentwood vlge, port douglas, 2315, vic, 19951125, 1697892
rec-3297-org, rachael, lomman, 37, carlile street, clonturkle, bronte, 2177, nsw, 19910228, 9462397
rec-1315-org, joseph, dissinger, 3, wilson street, braeburn, blacktown, 2193, nsw, 19370312, 7419586
rec-1050-org, sarah, verco, 100, de salis street, iron bark ridge, north rocks, 4210, nsw, 19400826, 9844628
rec-2116-org, sidonie, burford, 4, hartigan street, eventide homes, gunpowder, 2045, vic, 19471114, 2590848
rec-3232-org, andrew, carbone, 191, jabanungga avenue, villa 147 henry kendall bayside, malvern east, 5631, vic, 19720809, 6909412
rec-1900-dup-1, kiara, everett, 8, eddy crescent, legacy v lge, nobl ee park, 6076, wa, , 3831644
rec-2460-dup-2, nicholas, hathaway, 74, , flemington m zrkets, mill park, 6011, nsw, 19390305, 1796925
rec-3123-org, isabella, bastin, 36, frater crescent, mlc building, st kilda east, 6163, vic, 19580628, 9981914
rec-2166-org, alexandra, matthews, 174, port jackson circuit, old timers south, whaleback, 2830, vic, 19261017, 2919332
rec-1155-org, matthew, white, 3, bean crescent, anglican church, sale, 4221, vic, 19630121, 3038141
rec-1485-org, michael, dods, , wilhelmi crescent, cherrymount, young, 4504, nsw, 19700916, 2217360
rec-2852-org, georgia, white, 12, tenison-woods circuit, ywurrie, dapto, 2195, vic, , 2938217
rec-707-org, tia, geraghty, 52, , bindaree, robina, 2770, wa, 19231201, 6545434
rec-3499-org, brooke, stearnes, 44, paul coe crescent, aprt 22, mutdapilly, 2196, sa, 19550918, 4444208
rec-2153-org, liam, karahalios, 13, severne crescent, devonport vacation vlge, toorak, 6026, nsw, 19230614, 7282976
rec-1665-dup-2, jamesr, potempa, 6, max henry crescent, , crib point, 3029, sa, 19280707, 3563502
rec-35-dup-1, darcy, morrison, 36, lewis luxton avenue, the mews royal hotel bldg, cooks hill, 3108, nsw, 19170212, 6146184
rec-78-org, kody, stubbs, 31, ballumbir street, tulla burra, labrador, 3220, nsw, 19470214, 7063753
